id,name,type
dcfield_32,identifier,DublinCore
value_32,P000033,Value
dataset_33,EHR,Dataset
field_33,patient_id,Field
dcfield_33,identifier,DublinCore
value_33,P000034,Value
dataset_34,EHR,Dataset
field_34,patient_id,Field
dcfield_34,identifier,DublinCore
value_34,P000035,Value
dataset_35,EHR,Dataset
field_35,patient_id,Field
dcfield_35,identifier,DublinCore
value_35,P000036,Value
dataset_36,EHR,Dataset
field_36,patient_id,Field
dcfield_36,identifier,DublinCore
value_36,P000037,Value
dataset_37,EHR,Dataset
field_37,patient_id,Field
dcfield_37,identifier,DublinCore
value_37,P000038,Value
dataset_38,EHR,Dataset
field_38,patient_id,Field
dcfield_38,identifier,DublinCore
value_38,P000039,Value
dataset_39,EHR,Dataset
field_39,patient_id,Field
dcfield_39,identifier,DublinCore
value_39,P000040,Value
dataset_40,EHR,Dataset
field_40,patient_id,Field
dcfield_40,identifier,DublinCore
value_40,P000041,Value
dataset_41,EHR,Dataset
field_41,patient_id,Field
dcfield_41,identifier,DublinCore
value_41,P000042,Value
dataset_42,EHR,Dataset
field_42,patient_id,Field
dcfield_42,identifier,DublinCore
value_42,P000043,Value
dataset_43,EHR,Dataset
field_43,patient_id,Field
dcfield_43,identifier,DublinCore
value_43,P000044,Value
dataset_44,EHR,Dataset
field_44,patient_id,Field
dcfield_44,identifier,DublinCore
value_44,P000045,Value
dataset_45,EHR,Dataset
field_45,patient_id,Field
dcfield_45,identifier,DublinCore
value_45,P000046,Value
dataset_46,EHR,Dataset
field_46,patient_id,Field
dcfield_46,identifier,DublinCore
value_46,P000047,Value
dataset_47,EHR,Dataset
field_47,patient_id,Field
dcfield_47,identifier,DublinCore
value_47,P000048,Value
dataset_48,EHR,Dataset
field_48,patient_id,Field
dcfield_48,identifier,DublinCore
value_48,P000049,Value
dataset_49,EHR,Dataset
field_49,patient_id,Field
dcfield_49,identifier,DublinCore
value_49,P000050,Value
dataset_50,EHR,Dataset
field_50,diagnosis,Field
dcfield_50,subject,DublinCore
value_50,Diabetes,Value
concept_50,44054006.0,Concept
dataset_51,EHR,Dataset
field_51,diagnosis,Field
dcfield_51,subject,DublinCore
value_51,Cancer,Value
concept_51,363346000.0,Concept
dataset_52,EHR,Dataset
field_52,diagnosis,Field
dcfield_52,subject,DublinCore
value_52,Hypertension,Value
concept_52,38341003.0,Concept
dataset_53,EHR,Dataset
field_53,diagnosis,Field
dcfield_53,subject,DublinCore
value_53,Heart Failure,Value
dataset_54,EHR,Dataset
field_54,diagnosis,Field
dcfield_54,subject,DublinCore
value_54,COPD,Value
dataset_55,EHR,Dataset
field_55,diagnosis,Field
dcfield_55,subject,DublinCore
value_55,Stroke,Value
dataset_56,EHR,Dataset
field_56,diagnosis,Field
dcfield_56,subject,DublinCore
value_56,Asthma,Value
concept_56,195967001.0,Concept
dataset_57,EHR,Dataset
field_57,treatment,Field
dcfield_57,description,DublinCore
value_57,Metformin,Value
concept_57,860975.0,Concept
dataset_58,EHR,Dataset
field_58,treatment,Field
dcfield_58,description,DublinCore
value_58,Beta Blocker,Value
dataset_59,EHR,Dataset
field_59,treatment,Field
dcfield_59,description,DublinCore
value_59,Chemotherapy,Value
dataset_60,EHR,Dataset
field_60,treatment,Field
dcfield_60,description,DublinCore
value_60,Amlodipine,Value
dataset_61,EHR,Dataset
field_61,treatment,Field
dcfield_61,description,DublinCore
value_61,Insulin,Value
concept_61,28518.0,Concept
dataset_62,EHR,Dataset
field_62,treatment,Field
dcfield_62,description,DublinCore
value_62,Inhaler,Value
dataset_63,EHR,Dataset
field_63,treatment,Field
dcfield_63,description,DublinCore
value_63,Radiation Therapy,Value
dataset_64,EHR,Dataset
field_64,visit_date,Field
dcfield_64,date,DublinCore
value_64,2020-03-11,Value
dataset_65,EHR,Dataset
field_65,visit_date,Field
dcfield_65,date,DublinCore
value_65,2023-12-05,Value
dataset_66,EHR,Dataset
field_66,visit_date,Field
dcfield_66,date,DublinCore
value_66,2015-01-07,Value
dataset_67,EHR,Dataset
field_67,visit_date,Field
dcfield_67,date,DublinCore
value_67,2023-02-02,Value
dataset_68,EHR,Dataset
field_68,visit_date,Field
dcfield_68,date,DublinCore
value_68,2016-03-26,Value
dataset_69,EHR,Dataset
field_69,visit_date,Field
dcfield_69,date,DublinCore
value_69,2022-07-20,Value
dataset_70,EHR,Dataset
field_70,visit_date,Field
dcfield_70,date,DublinCore
value_70,2017-06-04,Value
dataset_71,EHR,Dataset
field_71,visit_date,Field
dcfield_71,date,DublinCore
value_71,2021-05-02,Value
dataset_72,EHR,Dataset
field_72,visit_date,Field
dcfield_72,date,DublinCore
value_72,2016-09-10,Value
dataset_73,EHR,Dataset
field_73,visit_date,Field
dcfield_73,date,DublinCore
value_73,2019-08-26,Value
dataset_74,EHR,Dataset
field_74,visit_date,Field
dcfield_74,date,DublinCore
value_74,2022-09-18,Value
dataset_75,EHR,Dataset
field_75,visit_date,Field
dcfield_75,date,DublinCore
value_75,2021-07-17,Value
dataset_76,EHR,Dataset
field_76,visit_date,Field
dcfield_76,date,DublinCore
value_76,2024-06-04,Value
dataset_77,EHR,Dataset
field_77,visit_date,Field
dcfield_77,date,DublinCore
value_77,2021-10-27,Value
dataset_78,EHR,Dataset
field_78,visit_date,Field
dcfield_78,date,DublinCore
value_78,2017-05-15,Value
dataset_79,EHR,Dataset
field_79,visit_date,Field
dcfield_79,date,DublinCore
value_79,2015-09-24,Value
dataset_80,EHR,Dataset
field_80,visit_date,Field
dcfield_80,date,DublinCore
value_80,2023-05-20,Value
dataset_81,EHR,Dataset
field_81,visit_date,Field
dcfield_81,date,DublinCore
value_81,2016-03-27,Value
dataset_82,EHR,Dataset
field_82,visit_date,Field
dcfield_82,date,DublinCore
value_82,2019-12-24,Value
dataset_83,EHR,Dataset
field_83,visit_date,Field
dcfield_83,date,DublinCore
value_83,2017-07-07,Value
dataset_84,EHR,Dataset
field_84,visit_date,Field
dcfield_84,date,DublinCore
value_84,2015-02-28,Value
dataset_85,EHR,Dataset
field_85,visit_date,Field
dcfield_85,date,DublinCore
value_85,2019-01-14,Value
dataset_86,EHR,Dataset
field_86,visit_date,Field
dcfield_86,date,DublinCore
value_86,2020-03-25,Value
dataset_87,EHR,Dataset
field_87,visit_date,Field
dcfield_87,date,DublinCore
value_87,2024-08-05,Value
dataset_88,EHR,Dataset
field_88,visit_date,Field
dcfield_88,date,DublinCore
value_88,2024-06-01,Value
dataset_89,EHR,Dataset
field_89,visit_date,Field
dcfield_89,date,DublinCore
value_89,2016-05-22,Value
dataset_90,EHR,Dataset
field_90,visit_date,Field
dcfield_90,date,DublinCore
value_90,2023-08-03,Value
dataset_91,EHR,Dataset
field_91,visit_date,Field
dcfield_91,date,DublinCore
value_91,2024-08-10,Value
dataset_92,EHR,Dataset
field_92,visit_date,Field
dcfield_92,date,DublinCore
value_92,2018-07-08,Value
dataset_93,EHR,Dataset
field_93,visit_date,Field
dcfield_93,date,DublinCore
value_93,2020-02-09,Value
dataset_94,EHR,Dataset
field_94,visit_date,Field
dcfield_94,date,DublinCore
value_94,2018-11-01,Value
dataset_95,EHR,Dataset
field_95,visit_date,Field
dcfield_95,date,DublinCore
value_95,2023-01-17,Value
dataset_96,EHR,Dataset
field_96,visit_date,Field
dcfield_96,date,DublinCore
value_96,2015-05-07,Value
dataset_97,EHR,Dataset
field_97,visit_date,Field
dcfield_97,date,DublinCore
value_97,2015-04-24,Value
dataset_98,EHR,Dataset
field_98,visit_date,Field
dcfield_98,date,DublinCore
value_98,2016-09-19,Value
dataset_99,EHR,Dataset
field_99,visit_date,Field
dcfield_99,date,DublinCore
value_99,2021-01-10,Value
dataset_100,EHR,Dataset
field_100,visit_date,Field
dcfield_100,date,DublinCore
value_100,2019-12-20,Value
dataset_101,EHR,Dataset
field_101,visit_date,Field
dcfield_101,date,DublinCore
value_101,2015-10-21,Value
dataset_102,EHR,Dataset
field_102,visit_date,Field
dcfield_102,date,DublinCore
value_102,2024-05-21,Value
dataset_103,EHR,Dataset
field_103,visit_date,Field
dcfield_103,date,DublinCore
value_103,2020-11-13,Value
dataset_104,EHR,Dataset
field_104,visit_date,Field
dcfield_104,date,DublinCore
value_104,2024-05-29,Value
dataset_105,EHR,Dataset
field_105,visit_date,Field
dcfield_105,date,DublinCore
value_105,2021-04-30,Value
dataset_106,EHR,Dataset
field_106,visit_date,Field
dcfield_106,date,DublinCore
value_106,2021-10-07,Value
dataset_107,EHR,Dataset
field_107,visit_date,Field
dcfield_107,date,DublinCore
value_107,2020-02-14,Value
dataset_108,EHR,Dataset
field_108,visit_date,Field
dcfield_108,date,DublinCore
value_108,2022-12-13,Value
dataset_109,EHR,Dataset
field_109,visit_date,Field
dcfield_109,date,DublinCore
value_109,2018-07-31,Value
dataset_110,EHR,Dataset
field_110,visit_date,Field
dcfield_110,date,DublinCore
value_110,2016-03-31,Value
dataset_111,EHR,Dataset
field_111,visit_date,Field
dcfield_111,date,DublinCore
value_111,2017-03-10,Value
dataset_112,EHR,Dataset
field_112,visit_date,Field
dcfield_112,date,DublinCore
value_112,2016-08-25,Value
dataset_113,EHR,Dataset
field_113,visit_date,Field
dcfield_113,date,DublinCore
value_113,2022-04-14,Value
dataset_114,EHR,Dataset
field_114,outcome,Field
dcfield_114,coverage,DublinCore
value_114,Recovered,Value
dataset_115,EHR,Dataset
field_115,outcome,Field
dcfield_115,coverage,DublinCore
value_115,Improved,Value
dataset_116,EHR,Dataset
field_116,outcome,Field
dcfield_116,coverage,DublinCore
value_116,Deceased,Value
dataset_117,EHR,Dataset
field_117,outcome,Field
dcfield_117,coverage,DublinCore
value_117,Stable,Value
dataset_118,EHR,Dataset
field_118,outcome,Field
dcfield_118,coverage,DublinCore
value_118,Deteriorated,Value
dataset_119,Clinical Trials,Dataset
field_119,trial_id,Field
dcfield_119,identifier,DublinCore
value_119,NCT100000,Value
dataset_120,Clinical Trials,Dataset
field_120,trial_id,Field
dcfield_120,identifier,DublinCore
value_120,NCT100001,Value
dataset_121,Clinical Trials,Dataset
field_121,trial_id,Field
dcfield_121,identifier,DublinCore
value_121,NCT100002,Value
dataset_122,Clinical Trials,Dataset
field_122,trial_id,Field
dcfield_122,identifier,DublinCore
value_122,NCT100003,Value
dataset_123,Clinical Trials,Dataset
field_123,trial_id,Field
dcfield_123,identifier,DublinCore
value_123,NCT100004,Value
dataset_124,Clinical Trials,Dataset
field_124,trial_id,Field
dcfield_124,identifier,DublinCore
value_124,NCT100005,Value
dataset_125,Clinical Trials,Dataset
field_125,trial_id,Field
dcfield_125,identifier,DublinCore
value_125,NCT100006,Value
dataset_126,Clinical Trials,Dataset
field_126,trial_id,Field
dcfield_126,identifier,DublinCore
value_126,NCT100007,Value
dataset_127,Clinical Trials,Dataset
field_127,trial_id,Field
dcfield_127,identifier,DublinCore
value_127,NCT100008,Value
dataset_128,Clinical Trials,Dataset
field_128,trial_id,Field
dcfield_128,identifier,DublinCore
value_128,NCT100009,Value
dataset_129,Clinical Trials,Dataset
field_129,trial_id,Field
dcfield_129,identifier,DublinCore
value_129,NCT100010,Value
dataset_130,Clinical Trials,Dataset
field_130,trial_id,Field
dcfield_130,identifier,DublinCore
value_130,NCT100011,Value
dataset_131,Clinical Trials,Dataset
field_131,trial_id,Field
dcfield_131,identifier,DublinCore
value_131,NCT100012,Value
dataset_132,Clinical Trials,Dataset
field_132,trial_id,Field
dcfield_132,identifier,DublinCore
value_132,NCT100013,Value
dataset_133,Clinical Trials,Dataset
field_133,trial_id,Field
dcfield_133,identifier,DublinCore
value_133,NCT100014,Value
dataset_134,Clinical Trials,Dataset
field_134,trial_id,Field
dcfield_134,identifier,DublinCore
value_134,NCT100015,Value
dataset_135,Clinical Trials,Dataset
field_135,trial_id,Field
dcfield_135,identifier,DublinCore
value_135,NCT100016,Value
dataset_136,Clinical Trials,Dataset
field_136,trial_id,Field
dcfield_136,identifier,DublinCore
value_136,NCT100017,Value
dataset_137,Clinical Trials,Dataset
field_137,trial_id,Field
dcfield_137,identifier,DublinCore
value_137,NCT100018,Value
dataset_138,Clinical Trials,Dataset
field_138,trial_id,Field
dcfield_138,identifier,DublinCore
value_138,NCT100019,Value
dataset_139,Clinical Trials,Dataset
field_139,trial_id,Field
dcfield_139,identifier,DublinCore
value_139,NCT100020,Value
dataset_140,Clinical Trials,Dataset
field_140,trial_id,Field
dcfield_140,identifier,DublinCore
value_140,NCT100021,Value
dataset_141,Clinical Trials,Dataset
field_141,trial_id,Field
dcfield_141,identifier,DublinCore
value_141,NCT100022,Value
dataset_142,Clinical Trials,Dataset
field_142,trial_id,Field
dcfield_142,identifier,DublinCore
value_142,NCT100023,Value
dataset_143,Clinical Trials,Dataset
field_143,trial_id,Field
dcfield_143,identifier,DublinCore
value_143,NCT100024,Value
dataset_144,Clinical Trials,Dataset
field_144,trial_id,Field
dcfield_144,identifier,DublinCore
value_144,NCT100025,Value
dataset_145,Clinical Trials,Dataset
field_145,trial_id,Field
dcfield_145,identifier,DublinCore
value_145,NCT100026,Value
dataset_146,Clinical Trials,Dataset
field_146,trial_id,Field
dcfield_146,identifier,DublinCore
value_146,NCT100027,Value
dataset_147,Clinical Trials,Dataset
field_147,trial_id,Field
dcfield_147,identifier,DublinCore
value_147,NCT100028,Value
dataset_148,Clinical Trials,Dataset
field_148,trial_id,Field
dcfield_148,identifier,DublinCore
value_148,NCT100029,Value
dataset_149,Clinical Trials,Dataset
field_149,trial_id,Field
dcfield_149,identifier,DublinCore
value_149,NCT100030,Value
dataset_150,Clinical Trials,Dataset
field_150,trial_id,Field
dcfield_150,identifier,DublinCore
value_150,NCT100031,Value
dataset_151,Clinical Trials,Dataset
field_151,trial_id,Field
dcfield_151,identifier,DublinCore
value_151,NCT100032,Value
dataset_152,Clinical Trials,Dataset
field_152,trial_id,Field
dcfield_152,identifier,DublinCore
value_152,NCT100033,Value
dataset_153,Clinical Trials,Dataset
field_153,trial_id,Field
dcfield_153,identifier,DublinCore
value_153,NCT100034,Value
dataset_154,Clinical Trials,Dataset
field_154,trial_id,Field
dcfield_154,identifier,DublinCore
value_154,NCT100035,Value
dataset_155,Clinical Trials,Dataset
field_155,trial_id,Field
dcfield_155,identifier,DublinCore
value_155,NCT100036,Value
dataset_156,Clinical Trials,Dataset
field_156,trial_id,Field
dcfield_156,identifier,DublinCore
value_156,NCT100037,Value
dataset_157,Clinical Trials,Dataset
field_157,trial_id,Field
dcfield_157,identifier,DublinCore
value_157,NCT100038,Value
dataset_158,Clinical Trials,Dataset
field_158,trial_id,Field
dcfield_158,identifier,DublinCore
value_158,NCT100039,Value
dataset_159,Clinical Trials,Dataset
field_159,trial_id,Field
dcfield_159,identifier,DublinCore
value_159,NCT100040,Value
dataset_160,Clinical Trials,Dataset
field_160,trial_id,Field
dcfield_160,identifier,DublinCore
value_160,NCT100041,Value
dataset_161,Clinical Trials,Dataset
field_161,trial_id,Field
dcfield_161,identifier,DublinCore
value_161,NCT100042,Value
dataset_162,Clinical Trials,Dataset
field_162,trial_id,Field
dcfield_162,identifier,DublinCore
value_162,NCT100043,Value
dataset_163,Clinical Trials,Dataset
field_163,trial_id,Field
dcfield_163,identifier,DublinCore
value_163,NCT100044,Value
dataset_164,Clinical Trials,Dataset
field_164,trial_id,Field
dcfield_164,identifier,DublinCore
value_164,NCT100045,Value
dataset_165,Clinical Trials,Dataset
field_165,trial_id,Field
dcfield_165,identifier,DublinCore
value_165,NCT100046,Value
dataset_166,Clinical Trials,Dataset
field_166,trial_id,Field
dcfield_166,identifier,DublinCore
value_166,NCT100047,Value
dataset_167,Clinical Trials,Dataset
field_167,trial_id,Field
dcfield_167,identifier,DublinCore
value_167,NCT100048,Value
dataset_168,Clinical Trials,Dataset
field_168,trial_id,Field
dcfield_168,identifier,DublinCore
value_168,NCT100049,Value
dataset_169,Clinical Trials,Dataset
field_169,title,Field
dcfield_169,title,DublinCore
value_169,Study on Breast Cancer with Vaccine X,Value
dataset_170,Clinical Trials,Dataset
field_170,title,Field
dcfield_170,title,DublinCore
value_170,Study on Alzheimer's with Drug A,Value
dataset_171,Clinical Trials,Dataset
field_171,title,Field
dcfield_171,title,DublinCore
value_171,Study on Breast Cancer with Drug A,Value
dataset_172,Clinical Trials,Dataset
field_172,title,Field
dcfield_172,title,DublinCore
value_172,Study on Breast Cancer with Placebo,Value
dataset_173,Clinical Trials,Dataset
field_173,title,Field
dcfield_173,title,DublinCore
value_173,Study on Alzheimer's with Insulin,Value
dataset_174,Clinical Trials,Dataset
field_174,title,Field
dcfield_174,title,DublinCore
value_174,Study on Hypertension with Insulin,Value
dataset_175,Clinical Trials,Dataset
field_175,title,Field
dcfield_175,title,DublinCore
value_175,Study on COVID-19 with Insulin,Value
dataset_176,Clinical Trials,Dataset
field_176,title,Field
dcfield_176,title,DublinCore
value_176,Study on Asthma with Radiation Therapy,Value
dataset_177,Clinical Trials,Dataset
field_177,title,Field
dcfield_177,title,DublinCore
value_177,Study on Hypertension with Vaccine X,Value
dataset_178,Clinical Trials,Dataset
field_178,title,Field
dcfield_178,title,DublinCore
value_178,Study on Alzheimer's with Placebo,Value
dataset_179,Clinical Trials,Dataset
field_179,title,Field
dcfield_179,title,DublinCore
value_179,Study on Diabetes with Drug B,Value
dataset_180,Clinical Trials,Dataset
field_180,title,Field
dcfield_180,title,DublinCore
value_180,Study on COVID-19 with Radiation Therapy,Value
dataset_181,Clinical Trials,Dataset
field_181,title,Field
dcfield_181,title,DublinCore
value_181,Study on HIV with Radiation Therapy,Value
dataset_182,Clinical Trials,Dataset
field_182,title,Field
dcfield_182,title,DublinCore
value_182,Study on Breast Cancer with Insulin,Value
dataset_183,Clinical Trials,Dataset
field_183,title,Field
dcfield_183,title,DublinCore
value_183,Study on Hypertension with Placebo,Value
dataset_184,Clinical Trials,Dataset
field_184,title,Field
dcfield_184,title,DublinCore
value_184,Study on Asthma with Drug B,Value
dataset_185,Clinical Trials,Dataset
field_185,title,Field
dcfield_185,title,DublinCore
value_185,Study on Alzheimer's with Vaccine X,Value
dataset_186,Clinical Trials,Dataset
field_186,title,Field
dcfield_186,title,DublinCore
value_186,Study on Asthma with Drug A,Value
dataset_187,Clinical Trials,Dataset
field_187,title,Field
dcfield_187,title,DublinCore
value_187,Study on Diabetes with Placebo,Value
dataset_188,Clinical Trials,Dataset
field_188,title,Field
dcfield_188,title,DublinCore
value_188,Study on COVID-19 with Vaccine X,Value
dataset_189,Clinical Trials,Dataset
field_189,title,Field
dcfield_189,title,DublinCore
value_189,Study on Breast Cancer with Radiation Therapy,Value
dataset_190,Clinical Trials,Dataset
field_190,title,Field
dcfield_190,title,DublinCore
value_190,Study on HIV with Vaccine X,Value
dataset_191,Clinical Trials,Dataset
field_191,title,Field
dcfield_191,title,DublinCore
value_191,Study on Breast Cancer with Drug B,Value
dataset_192,Clinical Trials,Dataset
field_192,title,Field
dcfield_192,title,DublinCore
value_192,Study on Asthma with Vaccine X,Value
dataset_193,Clinical Trials,Dataset
field_193,title,Field
dcfield_193,title,DublinCore
value_193,Study on HIV with Drug A,Value
dataset_194,Clinical Trials,Dataset
field_194,title,Field
dcfield_194,title,DublinCore
value_194,Study on COVID-19 with Drug B,Value
dataset_195,Clinical Trials,Dataset
field_195,title,Field
dcfield_195,title,DublinCore
value_195,Study on HIV with Placebo,Value
dataset_196,Clinical Trials,Dataset
field_196,title,Field
dcfield_196,title,DublinCore
value_196,Study on Hypertension with Drug B,Value
dataset_197,Clinical Trials,Dataset
field_197,title,Field
dcfield_197,title,DublinCore
value_197,Study on Alzheimer's with Radiation Therapy,Value
dataset_198,Clinical Trials,Dataset
field_198,title,Field
dcfield_198,title,DublinCore
value_198,Study on Diabetes with Vaccine X,Value
dataset_199,Clinical Trials,Dataset
field_199,title,Field
dcfield_199,title,DublinCore
value_199,Study on HIV with Insulin,Value
dataset_200,Clinical Trials,Dataset
field_200,title,Field
dcfield_200,title,DublinCore
value_200,Study on Alzheimer's with Drug B,Value
dataset_201,Clinical Trials,Dataset
field_201,title,Field
dcfield_201,title,DublinCore
value_201,Study on HIV with Drug B,Value
dataset_202,Clinical Trials,Dataset
field_202,title,Field
dcfield_202,title,DublinCore
value_202,Study on Hypertension with Drug A,Value
dataset_203,Clinical Trials,Dataset
field_203,title,Field
dcfield_203,title,DublinCore
value_203,Study on Diabetes with Drug A,Value
dataset_204,Clinical Trials,Dataset
field_204,title,Field
dcfield_204,title,DublinCore
value_204,Study on Asthma with Placebo,Value
dataset_205,Clinical Trials,Dataset
field_205,title,Field
dcfield_205,title,DublinCore
value_205,Study on Diabetes with Radiation Therapy,Value
dataset_206,Clinical Trials,Dataset
field_206,title,Field
dcfield_206,title,DublinCore
value_206,Study on COVID-19 with Drug A,Value
dataset_207,Clinical Trials,Dataset
field_207,title,Field
dcfield_207,title,DublinCore
value_207,Study on Diabetes with Insulin,Value
dataset_208,Clinical Trials,Dataset
field_208,title,Field
dcfield_208,title,DublinCore
value_208,Study on Hypertension with Radiation Therapy,Value
dataset_209,Clinical Trials,Dataset
field_209,title,Field
dcfield_209,title,DublinCore
value_209,Study on COVID-19 with Placebo,Value
dataset_210,Clinical Trials,Dataset
field_210,title,Field
dcfield_210,title,DublinCore
value_210,Study on Asthma with Insulin,Value
dataset_211,Clinical Trials,Dataset
field_211,condition,Field
dcfield_211,subject,DublinCore
value_211,Diabetes,Value
concept_211,44054006.0,Concept
dataset_212,Clinical Trials,Dataset
field_212,condition,Field
dcfield_212,subject,DublinCore
value_212,COVID-19,Value
dataset_213,Clinical Trials,Dataset
field_213,condition,Field
dcfield_213,subject,DublinCore
value_213,Hypertension,Value
concept_213,38341003.0,Concept
dataset_214,Clinical Trials,Dataset
field_214,condition,Field
dcfield_214,subject,DublinCore
value_214,Asthma,Value
concept_214,195967001.0,Concept
dataset_215,Clinical Trials,Dataset
field_215,condition,Field
dcfield_215,subject,DublinCore
value_215,Breast Cancer,Value
dataset_216,Clinical Trials,Dataset
field_216,condition,Field
dcfield_216,subject,DublinCore
value_216,Alzheimer's,Value
dataset_217,Clinical Trials,Dataset
field_217,condition,Field
dcfield_217,subject,DublinCore
value_217,HIV,Value
dataset_218,Clinical Trials,Dataset
field_218,intervention,Field
dcfield_218,description,DublinCore
value_218,Placebo,Value
dataset_219,Clinical Trials,Dataset
field_219,intervention,Field
dcfield_219,description,DublinCore
value_219,Vaccine X,Value
dataset_220,Clinical Trials,Dataset
field_220,intervention,Field
dcfield_220,description,DublinCore
value_220,Radiation Therapy,Value
dataset_221,Clinical Trials,Dataset
field_221,intervention,Field
dcfield_221,description,DublinCore
value_221,Drug B,Value
dataset_222,Clinical Trials,Dataset
field_222,intervention,Field
dcfield_222,description,DublinCore
value_222,Insulin,Value
concept_222,28518.0,Concept
dataset_223,Clinical Trials,Dataset
field_223,intervention,Field
dcfield_223,description,DublinCore
value_223,Drug A,Value
dataset_224,Clinical Trials,Dataset
field_224,phase,Field
dcfield_224,type,DublinCore
value_224,Phase IV,Value
dataset_225,Clinical Trials,Dataset
field_225,phase,Field
dcfield_225,type,DublinCore
value_225,Phase I,Value
dataset_226,Clinical Trials,Dataset
field_226,phase,Field
dcfield_226,type,DublinCore
value_226,Phase III,Value
dataset_227,Clinical Trials,Dataset
field_227,phase,Field
dcfield_227,type,DublinCore
value_227,Phase II,Value
dataset_228,Clinical Trials,Dataset
field_228,status,Field
dcfield_228,relation,DublinCore
value_228,Terminated,Value
dataset_229,Clinical Trials,Dataset
field_229,status,Field
dcfield_229,relation,DublinCore
value_229,Recruiting,Value
dataset_230,Clinical Trials,Dataset
field_230,status,Field
dcfield_230,relation,DublinCore
value_230,"Active, not recruiting",Value
dataset_231,Clinical Trials,Dataset
field_231,status,Field
dcfield_231,relation,DublinCore
value_231,Completed,Value
dataset_232,Clinical Trials,Dataset
field_232,start_date,Field
dcfield_232,date,DublinCore
value_232,2020-12-16,Value
dataset_233,Clinical Trials,Dataset
field_233,start_date,Field
dcfield_233,date,DublinCore
value_233,2020-03-19,Value
dataset_234,Clinical Trials,Dataset
field_234,start_date,Field
dcfield_234,date,DublinCore
value_234,2020-05-05,Value
dataset_235,Clinical Trials,Dataset
field_235,start_date,Field
dcfield_235,date,DublinCore
value_235,2023-01-31,Value
