source,target,relation
dataset_59,field_59,HAS_FIELD
field_59,dcfield_59,MAPPED_TO
field_59,value_59,HAS_VALUE
dataset_60,field_60,HAS_FIELD
field_60,dcfield_60,MAPPED_TO
field_60,value_60,HAS_VALUE
value_61,concept_61_0,NORMALIZED_TO
dataset_61,field_61,HAS_FIELD
field_61,dcfield_61,MAPPED_TO
field_61,value_61,HAS_VALUE
dataset_62,field_62,HAS_FIELD
field_62,dcfield_62,MAPPED_TO
field_62,value_62,HAS_VALUE
dataset_63,field_63,HAS_FIELD
field_63,dcfield_63,MAPPED_TO
field_63,value_63,HAS_VALUE
dataset_64,field_64,HAS_FIELD
field_64,dcfield_64,MAPPED_TO
field_64,value_64,HAS_VALUE
dataset_65,field_65,HAS_FIELD
field_65,dcfield_65,MAPPED_TO
field_65,value_65,HAS_VALUE
dataset_66,field_66,HAS_FIELD
field_66,dcfield_66,MAPPED_TO
field_66,value_66,HAS_VALUE
dataset_67,field_67,HAS_FIELD
field_67,dcfield_67,MAPPED_TO
field_67,value_67,HAS_VALUE
dataset_68,field_68,HAS_FIELD
field_68,dcfield_68,MAPPED_TO
field_68,value_68,HAS_VALUE
dataset_69,field_69,HAS_FIELD
field_69,dcfield_69,MAPPED_TO
field_69,value_69,HAS_VALUE
dataset_70,field_70,HAS_FIELD
field_70,dcfield_70,MAPPED_TO
field_70,value_70,HAS_VALUE
dataset_71,field_71,HAS_FIELD
field_71,dcfield_71,MAPPED_TO
field_71,value_71,HAS_VALUE
dataset_72,field_72,HAS_FIELD
field_72,dcfield_72,MAPPED_TO
field_72,value_72,HAS_VALUE
dataset_73,field_73,HAS_FIELD
field_73,dcfield_73,MAPPED_TO
field_73,value_73,HAS_VALUE
dataset_74,field_74,HAS_FIELD
field_74,dcfield_74,MAPPED_TO
field_74,value_74,HAS_VALUE
dataset_75,field_75,HAS_FIELD
field_75,dcfield_75,MAPPED_TO
field_75,value_75,HAS_VALUE
dataset_76,field_76,HAS_FIELD
field_76,dcfield_76,MAPPED_TO
field_76,value_76,HAS_VALUE
dataset_77,field_77,HAS_FIELD
field_77,dcfield_77,MAPPED_TO
field_77,value_77,HAS_VALUE
dataset_78,field_78,HAS_FIELD
field_78,dcfield_78,MAPPED_TO
field_78,value_78,HAS_VALUE
dataset_79,field_79,HAS_FIELD
field_79,dcfield_79,MAPPED_TO
field_79,value_79,HAS_VALUE
dataset_80,field_80,HAS_FIELD
field_80,dcfield_80,MAPPED_TO
field_80,value_80,HAS_VALUE
dataset_81,field_81,HAS_FIELD
field_81,dcfield_81,MAPPED_TO
field_81,value_81,HAS_VALUE
dataset_82,field_82,HAS_FIELD
field_82,dcfield_82,MAPPED_TO
field_82,value_82,HAS_VALUE
dataset_83,field_83,HAS_FIELD
field_83,dcfield_83,MAPPED_TO
field_83,value_83,HAS_VALUE
dataset_84,field_84,HAS_FIELD
field_84,dcfield_84,MAPPED_TO
field_84,value_84,HAS_VALUE
dataset_85,field_85,HAS_FIELD
field_85,dcfield_85,MAPPED_TO
field_85,value_85,HAS_VALUE
dataset_86,field_86,HAS_FIELD
field_86,dcfield_86,MAPPED_TO
field_86,value_86,HAS_VALUE
dataset_87,field_87,HAS_FIELD
field_87,dcfield_87,MAPPED_TO
field_87,value_87,HAS_VALUE
dataset_88,field_88,HAS_FIELD
field_88,dcfield_88,MAPPED_TO
field_88,value_88,HAS_VALUE
dataset_89,field_89,HAS_FIELD
field_89,dcfield_89,MAPPED_TO
field_89,value_89,HAS_VALUE
dataset_90,field_90,HAS_FIELD
field_90,dcfield_90,MAPPED_TO
field_90,value_90,HAS_VALUE
dataset_91,field_91,HAS_FIELD
field_91,dcfield_91,MAPPED_TO
field_91,value_91,HAS_VALUE
dataset_92,field_92,HAS_FIELD
field_92,dcfield_92,MAPPED_TO
field_92,value_92,HAS_VALUE
dataset_93,field_93,HAS_FIELD
field_93,dcfield_93,MAPPED_TO
field_93,value_93,HAS_VALUE
dataset_94,field_94,HAS_FIELD
field_94,dcfield_94,MAPPED_TO
field_94,value_94,HAS_VALUE
dataset_95,field_95,HAS_FIELD
field_95,dcfield_95,MAPPED_TO
field_95,value_95,HAS_VALUE
dataset_96,field_96,HAS_FIELD
field_96,dcfield_96,MAPPED_TO
field_96,value_96,HAS_VALUE
dataset_97,field_97,HAS_FIELD
field_97,dcfield_97,MAPPED_TO
field_97,value_97,HAS_VALUE
dataset_98,field_98,HAS_FIELD
field_98,dcfield_98,MAPPED_TO
field_98,value_98,HAS_VALUE
dataset_99,field_99,HAS_FIELD
field_99,dcfield_99,MAPPED_TO
field_99,value_99,HAS_VALUE
dataset_100,field_100,HAS_FIELD
field_100,dcfield_100,MAPPED_TO
field_100,value_100,HAS_VALUE
dataset_101,field_101,HAS_FIELD
field_101,dcfield_101,MAPPED_TO
field_101,value_101,HAS_VALUE
dataset_102,field_102,HAS_FIELD
field_102,dcfield_102,MAPPED_TO
field_102,value_102,HAS_VALUE
dataset_103,field_103,HAS_FIELD
field_103,dcfield_103,MAPPED_TO
field_103,value_103,HAS_VALUE
dataset_104,field_104,HAS_FIELD
field_104,dcfield_104,MAPPED_TO
field_104,value_104,HAS_VALUE
dataset_105,field_105,HAS_FIELD
field_105,dcfield_105,MAPPED_TO
field_105,value_105,HAS_VALUE
dataset_106,field_106,HAS_FIELD
field_106,dcfield_106,MAPPED_TO
field_106,value_106,HAS_VALUE
dataset_107,field_107,HAS_FIELD
field_107,dcfield_107,MAPPED_TO
field_107,value_107,HAS_VALUE
dataset_108,field_108,HAS_FIELD
field_108,dcfield_108,MAPPED_TO
field_108,value_108,HAS_VALUE
dataset_109,field_109,HAS_FIELD
field_109,dcfield_109,MAPPED_TO
field_109,value_109,HAS_VALUE
dataset_110,field_110,HAS_FIELD
field_110,dcfield_110,MAPPED_TO
field_110,value_110,HAS_VALUE
dataset_111,field_111,HAS_FIELD
field_111,dcfield_111,MAPPED_TO
field_111,value_111,HAS_VALUE
dataset_112,field_112,HAS_FIELD
field_112,dcfield_112,MAPPED_TO
field_112,value_112,HAS_VALUE
dataset_113,field_113,HAS_FIELD
field_113,dcfield_113,MAPPED_TO
field_113,value_113,HAS_VALUE
dataset_114,field_114,HAS_FIELD
field_114,dcfield_114,MAPPED_TO
field_114,value_114,HAS_VALUE
dataset_115,field_115,HAS_FIELD
field_115,dcfield_115,MAPPED_TO
field_115,value_115,HAS_VALUE
dataset_116,field_116,HAS_FIELD
field_116,dcfield_116,MAPPED_TO
field_116,value_116,HAS_VALUE
dataset_117,field_117,HAS_FIELD
field_117,dcfield_117,MAPPED_TO
field_117,value_117,HAS_VALUE
dataset_118,field_118,HAS_FIELD
field_118,dcfield_118,MAPPED_TO
field_118,value_118,HAS_VALUE
dataset_119,field_119,HAS_FIELD
field_119,dcfield_119,MAPPED_TO
field_119,value_119,HAS_VALUE
dataset_120,field_120,HAS_FIELD
field_120,dcfield_120,MAPPED_TO
field_120,value_120,HAS_VALUE
dataset_121,field_121,HAS_FIELD
field_121,dcfield_121,MAPPED_TO
field_121,value_121,HAS_VALUE
dataset_122,field_122,HAS_FIELD
field_122,dcfield_122,MAPPED_TO
field_122,value_122,HAS_VALUE
dataset_123,field_123,HAS_FIELD
field_123,dcfield_123,MAPPED_TO
field_123,value_123,HAS_VALUE
dataset_124,field_124,HAS_FIELD
field_124,dcfield_124,MAPPED_TO
field_124,value_124,HAS_VALUE
dataset_125,field_125,HAS_FIELD
field_125,dcfield_125,MAPPED_TO
field_125,value_125,HAS_VALUE
dataset_126,field_126,HAS_FIELD
field_126,dcfield_126,MAPPED_TO
field_126,value_126,HAS_VALUE
dataset_127,field_127,HAS_FIELD
field_127,dcfield_127,MAPPED_TO
field_127,value_127,HAS_VALUE
dataset_128,field_128,HAS_FIELD
field_128,dcfield_128,MAPPED_TO
field_128,value_128,HAS_VALUE
dataset_129,field_129,HAS_FIELD
field_129,dcfield_129,MAPPED_TO
field_129,value_129,HAS_VALUE
dataset_130,field_130,HAS_FIELD
field_130,dcfield_130,MAPPED_TO
field_130,value_130,HAS_VALUE
dataset_131,field_131,HAS_FIELD
field_131,dcfield_131,MAPPED_TO
field_131,value_131,HAS_VALUE
dataset_132,field_132,HAS_FIELD
field_132,dcfield_132,MAPPED_TO
field_132,value_132,HAS_VALUE
dataset_133,field_133,HAS_FIELD
field_133,dcfield_133,MAPPED_TO
field_133,value_133,HAS_VALUE
dataset_134,field_134,HAS_FIELD
field_134,dcfield_134,MAPPED_TO
field_134,value_134,HAS_VALUE
dataset_135,field_135,HAS_FIELD
field_135,dcfield_135,MAPPED_TO
field_135,value_135,HAS_VALUE
dataset_136,field_136,HAS_FIELD
field_136,dcfield_136,MAPPED_TO
field_136,value_136,HAS_VALUE
dataset_137,field_137,HAS_FIELD
field_137,dcfield_137,MAPPED_TO
field_137,value_137,HAS_VALUE
dataset_138,field_138,HAS_FIELD
field_138,dcfield_138,MAPPED_TO
field_138,value_138,HAS_VALUE
dataset_139,field_139,HAS_FIELD
field_139,dcfield_139,MAPPED_TO
field_139,value_139,HAS_VALUE
dataset_140,field_140,HAS_FIELD
field_140,dcfield_140,MAPPED_TO
field_140,value_140,HAS_VALUE
dataset_141,field_141,HAS_FIELD
field_141,dcfield_141,MAPPED_TO
field_141,value_141,HAS_VALUE
dataset_142,field_142,HAS_FIELD
field_142,dcfield_142,MAPPED_TO
field_142,value_142,HAS_VALUE
dataset_143,field_143,HAS_FIELD
field_143,dcfield_143,MAPPED_TO
field_143,value_143,HAS_VALUE
dataset_144,field_144,HAS_FIELD
field_144,dcfield_144,MAPPED_TO
field_144,value_144,HAS_VALUE
dataset_145,field_145,HAS_FIELD
field_145,dcfield_145,MAPPED_TO
field_145,value_145,HAS_VALUE
dataset_146,field_146,HAS_FIELD
field_146,dcfield_146,MAPPED_TO
field_146,value_146,HAS_VALUE
dataset_147,field_147,HAS_FIELD
field_147,dcfield_147,MAPPED_TO
field_147,value_147,HAS_VALUE
dataset_148,field_148,HAS_FIELD
field_148,dcfield_148,MAPPED_TO
field_148,value_148,HAS_VALUE
dataset_149,field_149,HAS_FIELD
field_149,dcfield_149,MAPPED_TO
field_149,value_149,HAS_VALUE
dataset_150,field_150,HAS_FIELD
field_150,dcfield_150,MAPPED_TO
field_150,value_150,HAS_VALUE
dataset_151,field_151,HAS_FIELD
field_151,dcfield_151,MAPPED_TO
field_151,value_151,HAS_VALUE
dataset_152,field_152,HAS_FIELD
field_152,dcfield_152,MAPPED_TO
field_152,value_152,HAS_VALUE
dataset_153,field_153,HAS_FIELD
field_153,dcfield_153,MAPPED_TO
field_153,value_153,HAS_VALUE
dataset_154,field_154,HAS_FIELD
field_154,dcfield_154,MAPPED_TO
field_154,value_154,HAS_VALUE
dataset_155,field_155,HAS_FIELD
field_155,dcfield_155,MAPPED_TO
field_155,value_155,HAS_VALUE
dataset_156,field_156,HAS_FIELD
field_156,dcfield_156,MAPPED_TO
field_156,value_156,HAS_VALUE
dataset_157,field_157,HAS_FIELD
field_157,dcfield_157,MAPPED_TO
field_157,value_157,HAS_VALUE
dataset_158,field_158,HAS_FIELD
field_158,dcfield_158,MAPPED_TO
field_158,value_158,HAS_VALUE
dataset_159,field_159,HAS_FIELD
field_159,dcfield_159,MAPPED_TO
field_159,value_159,HAS_VALUE
dataset_160,field_160,HAS_FIELD
field_160,dcfield_160,MAPPED_TO
field_160,value_160,HAS_VALUE
dataset_161,field_161,HAS_FIELD
field_161,dcfield_161,MAPPED_TO
field_161,value_161,HAS_VALUE
dataset_162,field_162,HAS_FIELD
field_162,dcfield_162,MAPPED_TO
field_162,value_162,HAS_VALUE
dataset_163,field_163,HAS_FIELD
field_163,dcfield_163,MAPPED_TO
field_163,value_163,HAS_VALUE
dataset_164,field_164,HAS_FIELD
field_164,dcfield_164,MAPPED_TO
field_164,value_164,HAS_VALUE
dataset_165,field_165,HAS_FIELD
field_165,dcfield_165,MAPPED_TO
field_165,value_165,HAS_VALUE
dataset_166,field_166,HAS_FIELD
field_166,dcfield_166,MAPPED_TO
field_166,value_166,HAS_VALUE
dataset_167,field_167,HAS_FIELD
field_167,dcfield_167,MAPPED_TO
field_167,value_167,HAS_VALUE
dataset_168,field_168,HAS_FIELD
field_168,dcfield_168,MAPPED_TO
field_168,value_168,HAS_VALUE
dataset_169,field_169,HAS_FIELD
field_169,dcfield_169,MAPPED_TO
field_169,value_169,HAS_VALUE
dataset_170,field_170,HAS_FIELD
field_170,dcfield_170,MAPPED_TO
field_170,value_170,HAS_VALUE
dataset_171,field_171,HAS_FIELD
field_171,dcfield_171,MAPPED_TO
field_171,value_171,HAS_VALUE
dataset_172,field_172,HAS_FIELD
field_172,dcfield_172,MAPPED_TO
field_172,value_172,HAS_VALUE
dataset_173,field_173,HAS_FIELD
field_173,dcfield_173,MAPPED_TO
field_173,value_173,HAS_VALUE
dataset_174,field_174,HAS_FIELD
field_174,dcfield_174,MAPPED_TO
field_174,value_174,HAS_VALUE
dataset_175,field_175,HAS_FIELD
field_175,dcfield_175,MAPPED_TO
field_175,value_175,HAS_VALUE
dataset_176,field_176,HAS_FIELD
field_176,dcfield_176,MAPPED_TO
field_176,value_176,HAS_VALUE
dataset_177,field_177,HAS_FIELD
field_177,dcfield_177,MAPPED_TO
field_177,value_177,HAS_VALUE
dataset_178,field_178,HAS_FIELD
field_178,dcfield_178,MAPPED_TO
field_178,value_178,HAS_VALUE
dataset_179,field_179,HAS_FIELD
field_179,dcfield_179,MAPPED_TO
field_179,value_179,HAS_VALUE
dataset_180,field_180,HAS_FIELD
field_180,dcfield_180,MAPPED_TO
field_180,value_180,HAS_VALUE
dataset_181,field_181,HAS_FIELD
field_181,dcfield_181,MAPPED_TO
field_181,value_181,HAS_VALUE
dataset_182,field_182,HAS_FIELD
field_182,dcfield_182,MAPPED_TO
field_182,value_182,HAS_VALUE
dataset_183,field_183,HAS_FIELD
field_183,dcfield_183,MAPPED_TO
field_183,value_183,HAS_VALUE
dataset_184,field_184,HAS_FIELD
field_184,dcfield_184,MAPPED_TO
field_184,value_184,HAS_VALUE
dataset_185,field_185,HAS_FIELD
field_185,dcfield_185,MAPPED_TO
field_185,value_185,HAS_VALUE
dataset_186,field_186,HAS_FIELD
field_186,dcfield_186,MAPPED_TO
field_186,value_186,HAS_VALUE
dataset_187,field_187,HAS_FIELD
field_187,dcfield_187,MAPPED_TO
field_187,value_187,HAS_VALUE
dataset_188,field_188,HAS_FIELD
field_188,dcfield_188,MAPPED_TO
field_188,value_188,HAS_VALUE
dataset_189,field_189,HAS_FIELD
field_189,dcfield_189,MAPPED_TO
field_189,value_189,HAS_VALUE
dataset_190,field_190,HAS_FIELD
field_190,dcfield_190,MAPPED_TO
field_190,value_190,HAS_VALUE
dataset_191,field_191,HAS_FIELD
field_191,dcfield_191,MAPPED_TO
field_191,value_191,HAS_VALUE
dataset_192,field_192,HAS_FIELD
field_192,dcfield_192,MAPPED_TO
field_192,value_192,HAS_VALUE
dataset_193,field_193,HAS_FIELD
field_193,dcfield_193,MAPPED_TO
field_193,value_193,HAS_VALUE
dataset_194,field_194,HAS_FIELD
field_194,dcfield_194,MAPPED_TO
field_194,value_194,HAS_VALUE
dataset_195,field_195,HAS_FIELD
field_195,dcfield_195,MAPPED_TO
field_195,value_195,HAS_VALUE
dataset_196,field_196,HAS_FIELD
field_196,dcfield_196,MAPPED_TO
field_196,value_196,HAS_VALUE
dataset_197,field_197,HAS_FIELD
field_197,dcfield_197,MAPPED_TO
field_197,value_197,HAS_VALUE
dataset_198,field_198,HAS_FIELD
field_198,dcfield_198,MAPPED_TO
field_198,value_198,HAS_VALUE
dataset_199,field_199,HAS_FIELD
field_199,dcfield_199,MAPPED_TO
field_199,value_199,HAS_VALUE
dataset_200,field_200,HAS_FIELD
field_200,dcfield_200,MAPPED_TO
field_200,value_200,HAS_VALUE
dataset_201,field_201,HAS_FIELD
field_201,dcfield_201,MAPPED_TO
field_201,value_201,HAS_VALUE
dataset_202,field_202,HAS_FIELD
field_202,dcfield_202,MAPPED_TO
field_202,value_202,HAS_VALUE
dataset_203,field_203,HAS_FIELD
field_203,dcfield_203,MAPPED_TO
field_203,value_203,HAS_VALUE
dataset_204,field_204,HAS_FIELD
field_204,dcfield_204,MAPPED_TO
field_204,value_204,HAS_VALUE
dataset_205,field_205,HAS_FIELD
field_205,dcfield_205,MAPPED_TO
field_205,value_205,HAS_VALUE
dataset_206,field_206,HAS_FIELD
field_206,dcfield_206,MAPPED_TO
field_206,value_206,HAS_VALUE
dataset_207,field_207,HAS_FIELD
field_207,dcfield_207,MAPPED_TO
field_207,value_207,HAS_VALUE
dataset_208,field_208,HAS_FIELD
field_208,dcfield_208,MAPPED_TO
field_208,value_208,HAS_VALUE
dataset_209,field_209,HAS_FIELD
field_209,dcfield_209,MAPPED_TO
field_209,value_209,HAS_VALUE
dataset_210,field_210,HAS_FIELD
field_210,dcfield_210,MAPPED_TO
field_210,value_210,HAS_VALUE
value_211,concept_211_0,NORMALIZED_TO
dataset_211,field_211,HAS_FIELD
field_211,dcfield_211,MAPPED_TO
field_211,value_211,HAS_VALUE
dataset_212,field_212,HAS_FIELD
field_212,dcfield_212,MAPPED_TO
field_212,value_212,HAS_VALUE
value_213,concept_213_0,NORMALIZED_TO
dataset_213,field_213,HAS_FIELD
field_213,dcfield_213,MAPPED_TO
field_213,value_213,HAS_VALUE
value_214,concept_214_0,NORMALIZED_TO
dataset_214,field_214,HAS_FIELD
field_214,dcfield_214,MAPPED_TO
field_214,value_214,HAS_VALUE
dataset_215,field_215,HAS_FIELD
field_215,dcfield_215,MAPPED_TO
field_215,value_215,HAS_VALUE
dataset_216,field_216,HAS_FIELD
field_216,dcfield_216,MAPPED_TO
field_216,value_216,HAS_VALUE
dataset_217,field_217,HAS_FIELD
field_217,dcfield_217,MAPPED_TO
field_217,value_217,HAS_VALUE
dataset_218,field_218,HAS_FIELD
field_218,dcfield_218,MAPPED_TO
field_218,value_218,HAS_VALUE
dataset_219,field_219,HAS_FIELD
field_219,dcfield_219,MAPPED_TO
field_219,value_219,HAS_VALUE
dataset_220,field_220,HAS_FIELD
field_220,dcfield_220,MAPPED_TO
field_220,value_220,HAS_VALUE
dataset_221,field_221,HAS_FIELD
field_221,dcfield_221,MAPPED_TO
field_221,value_221,HAS_VALUE
dataset_222,field_222,HAS_FIELD
field_222,dcfield_222,MAPPED_TO
field_222,value_222,HAS_VALUE
dataset_223,field_223,HAS_FIELD
field_223,dcfield_223,MAPPED_TO
field_223,value_223,HAS_VALUE
dataset_224,field_224,HAS_FIELD
field_224,dcfield_224,MAPPED_TO
field_224,value_224,HAS_VALUE
dataset_225,field_225,HAS_FIELD
field_225,dcfield_225,MAPPED_TO
field_225,value_225,HAS_VALUE
dataset_226,field_226,HAS_FIELD
field_226,dcfield_226,MAPPED_TO
field_226,value_226,HAS_VALUE
dataset_227,field_227,HAS_FIELD
field_227,dcfield_227,MAPPED_TO
field_227,value_227,HAS_VALUE
dataset_228,field_228,HAS_FIELD
field_228,dcfield_228,MAPPED_TO
field_228,value_228,HAS_VALUE
dataset_229,field_229,HAS_FIELD
field_229,dcfield_229,MAPPED_TO
field_229,value_229,HAS_VALUE
dataset_230,field_230,HAS_FIELD
field_230,dcfield_230,MAPPED_TO
field_230,value_230,HAS_VALUE
dataset_231,field_231,HAS_FIELD
field_231,dcfield_231,MAPPED_TO
field_231,value_231,HAS_VALUE
dataset_232,field_232,HAS_FIELD
field_232,dcfield_232,MAPPED_TO
field_232,value_232,HAS_VALUE
dataset_233,field_233,HAS_FIELD
field_233,dcfield_233,MAPPED_TO
field_233,value_233,HAS_VALUE
dataset_234,field_234,HAS_FIELD
field_234,dcfield_234,MAPPED_TO
field_234,value_234,HAS_VALUE
dataset_235,field_235,HAS_FIELD
field_235,dcfield_235,MAPPED_TO
field_235,value_235,HAS_VALUE
dataset_236,field_236,HAS_FIELD
field_236,dcfield_236,MAPPED_TO
field_236,value_236,HAS_VALUE
dataset_237,field_237,HAS_FIELD
field_237,dcfield_237,MAPPED_TO
field_237,value_237,HAS_VALUE
dataset_238,field_238,HAS_FIELD
field_238,dcfield_238,MAPPED_TO
field_238,value_238,HAS_VALUE
dataset_239,field_239,HAS_FIELD
field_239,dcfield_239,MAPPED_TO
field_239,value_239,HAS_VALUE
dataset_240,field_240,HAS_FIELD
field_240,dcfield_240,MAPPED_TO
field_240,value_240,HAS_VALUE
dataset_241,field_241,HAS_FIELD
field_241,dcfield_241,MAPPED_TO
field_241,value_241,HAS_VALUE
dataset_242,field_242,HAS_FIELD
field_242,dcfield_242,MAPPED_TO
field_242,value_242,HAS_VALUE
dataset_243,field_243,HAS_FIELD
field_243,dcfield_243,MAPPED_TO
field_243,value_243,HAS_VALUE
dataset_244,field_244,HAS_FIELD
field_244,dcfield_244,MAPPED_TO
field_244,value_244,HAS_VALUE
dataset_245,field_245,HAS_FIELD
field_245,dcfield_245,MAPPED_TO
field_245,value_245,HAS_VALUE
dataset_246,field_246,HAS_FIELD
