id,label,name,ontology,code,uri,synonyms
dataset_20,Dataset,EHR,,,,
field_20,Field,patient_id,,,,
dcfield_20,DublinCore,identifier,,,,
value_20,Value,P000021,,,,
dataset_21,Dataset,EHR,,,,
field_21,Field,patient_id,,,,
dcfield_21,DublinCore,identifier,,,,
value_21,Value,P000022,,,,
dataset_22,Dataset,EHR,,,,
field_22,Field,patient_id,,,,
dcfield_22,DublinCore,identifier,,,,
value_22,Value,P000023,,,,
dataset_23,Dataset,EHR,,,,
field_23,Field,patient_id,,,,
dcfield_23,DublinCore,identifier,,,,
value_23,Value,P000024,,,,
dataset_24,Dataset,EHR,,,,
field_24,Field,patient_id,,,,
dcfield_24,DublinCore,identifier,,,,
value_24,Value,P000025,,,,
dataset_25,Dataset,EHR,,,,
field_25,Field,patient_id,,,,
dcfield_25,DublinCore,identifier,,,,
value_25,Value,P000026,,,,
dataset_26,Dataset,EHR,,,,
field_26,Field,patient_id,,,,
dcfield_26,DublinCore,identifier,,,,
value_26,Value,P000027,,,,
dataset_27,Dataset,EHR,,,,
field_27,Field,patient_id,,,,
dcfield_27,DublinCore,identifier,,,,
value_27,Value,P000028,,,,
dataset_28,Dataset,EHR,,,,
field_28,Field,patient_id,,,,
dcfield_28,DublinCore,identifier,,,,
value_28,Value,P000029,,,,
dataset_29,Dataset,EHR,,,,
field_29,Field,patient_id,,,,
dcfield_29,DublinCore,identifier,,,,
value_29,Value,P000030,,,,
dataset_30,Dataset,EHR,,,,
field_30,Field,patient_id,,,,
dcfield_30,DublinCore,identifier,,,,
value_30,Value,P000031,,,,
dataset_31,Dataset,EHR,,,,
field_31,Field,patient_id,,,,
dcfield_31,DublinCore,identifier,,,,
value_31,Value,P000032,,,,
dataset_32,Dataset,EHR,,,,
field_32,Field,patient_id,,,,
dcfield_32,DublinCore,identifier,,,,
value_32,Value,P000033,,,,
dataset_33,Dataset,EHR,,,,
field_33,Field,patient_id,,,,
dcfield_33,DublinCore,identifier,,,,
value_33,Value,P000034,,,,
dataset_34,Dataset,EHR,,,,
field_34,Field,patient_id,,,,
dcfield_34,DublinCore,identifier,,,,
value_34,Value,P000035,,,,
dataset_35,Dataset,EHR,,,,
field_35,Field,patient_id,,,,
dcfield_35,DublinCore,identifier,,,,
value_35,Value,P000036,,,,
dataset_36,Dataset,EHR,,,,
field_36,Field,patient_id,,,,
dcfield_36,DublinCore,identifier,,,,
value_36,Value,P000037,,,,
dataset_37,Dataset,EHR,,,,
field_37,Field,patient_id,,,,
dcfield_37,DublinCore,identifier,,,,
value_37,Value,P000038,,,,
dataset_38,Dataset,EHR,,,,
field_38,Field,patient_id,,,,
dcfield_38,DublinCore,identifier,,,,
value_38,Value,P000039,,,,
dataset_39,Dataset,EHR,,,,
field_39,Field,patient_id,,,,
dcfield_39,DublinCore,identifier,,,,
value_39,Value,P000040,,,,
dataset_40,Dataset,EHR,,,,
field_40,Field,patient_id,,,,
dcfield_40,DublinCore,identifier,,,,
value_40,Value,P000041,,,,
dataset_41,Dataset,EHR,,,,
field_41,Field,patient_id,,,,
dcfield_41,DublinCore,identifier,,,,
value_41,Value,P000042,,,,
dataset_42,Dataset,EHR,,,,
field_42,Field,patient_id,,,,
dcfield_42,DublinCore,identifier,,,,
value_42,Value,P000043,,,,
dataset_43,Dataset,EHR,,,,
field_43,Field,patient_id,,,,
dcfield_43,DublinCore,identifier,,,,
value_43,Value,P000044,,,,
dataset_44,Dataset,EHR,,,,
field_44,Field,patient_id,,,,
dcfield_44,DublinCore,identifier,,,,
value_44,Value,P000045,,,,
dataset_45,Dataset,EHR,,,,
field_45,Field,patient_id,,,,
dcfield_45,DublinCore,identifier,,,,
value_45,Value,P000046,,,,
dataset_46,Dataset,EHR,,,,
field_46,Field,patient_id,,,,
dcfield_46,DublinCore,identifier,,,,
value_46,Value,P000047,,,,
dataset_47,Dataset,EHR,,,,
field_47,Field,patient_id,,,,
dcfield_47,DublinCore,identifier,,,,
value_47,Value,P000048,,,,
dataset_48,Dataset,EHR,,,,
field_48,Field,patient_id,,,,
dcfield_48,DublinCore,identifier,,,,
value_48,Value,P000049,,,,
dataset_49,Dataset,EHR,,,,
field_49,Field,patient_id,,,,
dcfield_49,DublinCore,identifier,,,,
value_49,Value,P000050,,,,
dataset_50,Dataset,EHR,,,,
field_50,Field,diagnosis,,,,
dcfield_50,DublinCore,subject,,,,
value_50,Diagnosis,Diabetes,,,,
concept_50_0,Concept,Diabetes mellitus,SNOMEDCT,44054006,http://purl.bioontology.org/ontology/SNOMEDCT/44054006,high blood sugar|sugar diabetes|dm
dataset_51,Dataset,EHR,,,,
field_51,Field,diagnosis,,,,
dcfield_51,DublinCore,subject,,,,
value_51,Diagnosis,Cancer,,,,
dataset_52,Dataset,EHR,,,,
field_52,Field,diagnosis,,,,
dcfield_52,DublinCore,subject,,,,
value_52,Diagnosis,Hypertension,,,,
concept_52_0,Concept,Hypertensive disorder,SNOMEDCT,38341003,http://purl.bioontology.org/ontology/SNOMEDCT/38341003,high blood pressure|htn
dataset_53,Dataset,EHR,,,,
field_53,Field,diagnosis,,,,
dcfield_53,DublinCore,subject,,,,
value_53,Diagnosis,Heart Failure,,,,
dataset_54,Dataset,EHR,,,,
field_54,Field,diagnosis,,,,
dcfield_54,DublinCore,subject,,,,
value_54,Diagnosis,COPD,,,,
dataset_55,Dataset,EHR,,,,
field_55,Field,diagnosis,,,,
dcfield_55,DublinCore,subject,,,,
value_55,Diagnosis,Stroke,,,,
dataset_56,Dataset,EHR,,,,
field_56,Field,diagnosis,,,,
dcfield_56,DublinCore,subject,,,,
value_56,Diagnosis,Asthma,,,,
concept_56_0,Concept,Asthma,SNOMEDCT,195967001,http://purl.bioontology.org/ontology/SNOMEDCT/195967001,bronchial asthma
dataset_57,Dataset,EHR,,,,
field_57,Field,treatment,,,,
dcfield_57,DublinCore,description,,,,
value_57,Drug,Metformin,,,,
concept_57_0,Concept,metformin,RXNORM,6809,http://purl.bioontology.org/ontology/RXNORM/6809,
dataset_58,Dataset,EHR,,,,
field_58,Field,treatment,,,,
dcfield_58,DublinCore,description,,,,
value_58,Drug,Beta Blocker,,,,
dataset_59,Dataset,EHR,,,,
field_59,Field,treatment,,,,
dcfield_59,DublinCore,description,,,,
value_59,Drug,Chemotherapy,,,,
dataset_60,Dataset,EHR,,,,
field_60,Field,treatment,,,,
dcfield_60,DublinCore,description,,,,
value_60,Drug,Amlodipine,,,,
dataset_61,Dataset,EHR,,,,
field_61,Field,treatment,,,,
dcfield_61,DublinCore,description,,,,
value_61,Drug,Insulin,,,,
concept_61_0,Concept,Insulin,RXNORM,28518,http://purl.bioontology.org/ontology/RXNORM/28518,
dataset_62,Dataset,EHR,,,,
field_62,Field,treatment,,,,
dcfield_62,DublinCore,description,,,,
value_62,Drug,Inhaler,,,,
dataset_63,Dataset,EHR,,,,
field_63,Field,treatment,,,,
dcfield_63,DublinCore,description,,,,
value_63,Drug,Radiation Therapy,,,,
dataset_64,Dataset,EHR,,,,
field_64,Field,visit_date,,,,
dcfield_64,DublinCore,date,,,,
value_64,Value,2020-03-11,,,,
dataset_65,Dataset,EHR,,,,
field_65,Field,visit_date,,,,
dcfield_65,DublinCore,date,,,,
value_65,Value,2023-12-05,,,,
dataset_66,Dataset,EHR,,,,
field_66,Field,visit_date,,,,
dcfield_66,DublinCore,date,,,,
value_66,Value,2015-01-07,,,,
dataset_67,Dataset,EHR,,,,
field_67,Field,visit_date,,,,
dcfield_67,DublinCore,date,,,,
value_67,Value,2023-02-02,,,,
dataset_68,Dataset,EHR,,,,
field_68,Field,visit_date,,,,
dcfield_68,DublinCore,date,,,,
value_68,Value,2016-03-26,,,,
dataset_69,Dataset,EHR,,,,
field_69,Field,visit_date,,,,
dcfield_69,DublinCore,date,,,,
value_69,Value,2022-07-20,,,,
dataset_70,Dataset,EHR,,,,
field_70,Field,visit_date,,,,
dcfield_70,DublinCore,date,,,,
value_70,Value,2017-06-04,,,,
dataset_71,Dataset,EHR,,,,
field_71,Field,visit_date,,,,
dcfield_71,DublinCore,date,,,,
value_71,Value,2021-05-02,,,,
dataset_72,Dataset,EHR,,,,
field_72,Field,visit_date,,,,
dcfield_72,DublinCore,date,,,,
value_72,Value,2016-09-10,,,,
dataset_73,Dataset,EHR,,,,
field_73,Field,visit_date,,,,
dcfield_73,DublinCore,date,,,,
value_73,Value,2019-08-26,,,,
dataset_74,Dataset,EHR,,,,
field_74,Field,visit_date,,,,
dcfield_74,DublinCore,date,,,,
value_74,Value,2022-09-18,,,,
dataset_75,Dataset,EHR,,,,
field_75,Field,visit_date,,,,
dcfield_75,DublinCore,date,,,,
value_75,Value,2021-07-17,,,,
dataset_76,Dataset,EHR,,,,
field_76,Field,visit_date,,,,
dcfield_76,DublinCore,date,,,,
value_76,Value,2024-06-04,,,,
dataset_77,Dataset,EHR,,,,
field_77,Field,visit_date,,,,
dcfield_77,DublinCore,date,,,,
value_77,Value,2021-10-27,,,,
dataset_78,Dataset,EHR,,,,
field_78,Field,visit_date,,,,
dcfield_78,DublinCore,date,,,,
value_78,Value,2017-05-15,,,,
dataset_79,Dataset,EHR,,,,
field_79,Field,visit_date,,,,
dcfield_79,DublinCore,date,,,,
value_79,Value,2015-09-24,,,,
dataset_80,Dataset,EHR,,,,
field_80,Field,visit_date,,,,
dcfield_80,DublinCore,date,,,,
value_80,Value,2023-05-20,,,,
dataset_81,Dataset,EHR,,,,
field_81,Field,visit_date,,,,
dcfield_81,DublinCore,date,,,,
value_81,Value,2016-03-27,,,,
dataset_82,Dataset,EHR,,,,
field_82,Field,visit_date,,,,
dcfield_82,DublinCore,date,,,,
value_82,Value,2019-12-24,,,,
dataset_83,Dataset,EHR,,,,
field_83,Field,visit_date,,,,
dcfield_83,DublinCore,date,,,,
value_83,Value,2017-07-07,,,,
dataset_84,Dataset,EHR,,,,
field_84,Field,visit_date,,,,
dcfield_84,DublinCore,date,,,,
value_84,Value,2015-02-28,,,,
dataset_85,Dataset,EHR,,,,
field_85,Field,visit_date,,,,
dcfield_85,DublinCore,date,,,,
value_85,Value,2019-01-14,,,,
dataset_86,Dataset,EHR,,,,
field_86,Field,visit_date,,,,
dcfield_86,DublinCore,date,,,,
value_86,Value,2020-03-25,,,,
dataset_87,Dataset,EHR,,,,
field_87,Field,visit_date,,,,
dcfield_87,DublinCore,date,,,,
value_87,Value,2024-08-05,,,,
dataset_88,Dataset,EHR,,,,
field_88,Field,visit_date,,,,
dcfield_88,DublinCore,date,,,,
value_88,Value,2024-06-01,,,,
dataset_89,Dataset,EHR,,,,
field_89,Field,visit_date,,,,
dcfield_89,DublinCore,date,,,,
value_89,Value,2016-05-22,,,,
dataset_90,Dataset,EHR,,,,
field_90,Field,visit_date,,,,
dcfield_90,DublinCore,date,,,,
value_90,Value,2023-08-03,,,,
dataset_91,Dataset,EHR,,,,
field_91,Field,visit_date,,,,
dcfield_91,DublinCore,date,,,,
value_91,Value,2024-08-10,,,,
dataset_92,Dataset,EHR,,,,
field_92,Field,visit_date,,,,
dcfield_92,DublinCore,date,,,,
value_92,Value,2018-07-08,,,,
dataset_93,Dataset,EHR,,,,
field_93,Field,visit_date,,,,
dcfield_93,DublinCore,date,,,,
value_93,Value,2020-02-09,,,,
dataset_94,Dataset,EHR,,,,
field_94,Field,visit_date,,,,
dcfield_94,DublinCore,date,,,,
value_94,Value,2018-11-01,,,,
dataset_95,Dataset,EHR,,,,
field_95,Field,visit_date,,,,
dcfield_95,DublinCore,date,,,,
value_95,Value,2023-01-17,,,,
dataset_96,Dataset,EHR,,,,
field_96,Field,visit_date,,,,
dcfield_96,DublinCore,date,,,,
value_96,Value,2015-05-07,,,,
dataset_97,Dataset,EHR,,,,
field_97,Field,visit_date,,,,
dcfield_97,DublinCore,date,,,,
value_97,Value,2015-04-24,,,,
dataset_98,Dataset,EHR,,,,
field_98,Field,visit_date,,,,
dcfield_98,DublinCore,date,,,,
value_98,Value,2016-09-19,,,,
dataset_99,Dataset,EHR,,,,
field_99,Field,visit_date,,,,
dcfield_99,DublinCore,date,,,,
value_99,Value,2021-01-10,,,,
dataset_100,Dataset,EHR,,,,
field_100,Field,visit_date,,,,
dcfield_100,DublinCore,date,,,,
value_100,Value,2019-12-20,,,,
dataset_101,Dataset,EHR,,,,
field_101,Field,visit_date,,,,
dcfield_101,DublinCore,date,,,,
value_101,Value,2015-10-21,,,,
dataset_102,Dataset,EHR,,,,
field_102,Field,visit_date,,,,
dcfield_102,DublinCore,date,,,,
value_102,Value,2024-05-21,,,,
dataset_103,Dataset,EHR,,,,
field_103,Field,visit_date,,,,
dcfield_103,DublinCore,date,,,,
value_103,Value,2020-11-13,,,,
dataset_104,Dataset,EHR,,,,
field_104,Field,visit_date,,,,
dcfield_104,DublinCore,date,,,,
value_104,Value,2024-05-29,,,,
dataset_105,Dataset,EHR,,,,
field_105,Field,visit_date,,,,
dcfield_105,DublinCore,date,,,,
value_105,Value,2021-04-30,,,,
dataset_106,Dataset,EHR,,,,
field_106,Field,visit_date,,,,
dcfield_106,DublinCore,date,,,,
value_106,Value,2021-10-07,,,,
dataset_107,Dataset,EHR,,,,
field_107,Field,visit_date,,,,
dcfield_107,DublinCore,date,,,,
value_107,Value,2020-02-14,,,,
dataset_108,Dataset,EHR,,,,
field_108,Field,visit_date,,,,
dcfield_108,DublinCore,date,,,,
value_108,Value,2022-12-13,,,,
dataset_109,Dataset,EHR,,,,
field_109,Field,visit_date,,,,
dcfield_109,DublinCore,date,,,,
value_109,Value,2018-07-31,,,,
dataset_110,Dataset,EHR,,,,
field_110,Field,visit_date,,,,
dcfield_110,DublinCore,date,,,,
value_110,Value,2016-03-31,,,,
dataset_111,Dataset,EHR,,,,
field_111,Field,visit_date,,,,
dcfield_111,DublinCore,date,,,,
value_111,Value,2017-03-10,,,,
dataset_112,Dataset,EHR,,,,
field_112,Field,visit_date,,,,
dcfield_112,DublinCore,date,,,,
value_112,Value,2016-08-25,,,,
dataset_113,Dataset,EHR,,,,
field_113,Field,visit_date,,,,
dcfield_113,DublinCore,date,,,,
value_113,Value,2022-04-14,,,,
dataset_114,Dataset,EHR,,,,
field_114,Field,outcome,,,,
dcfield_114,DublinCore,coverage,,,,
value_114,Value,Recovered,,,,
dataset_115,Dataset,EHR,,,,
field_115,Field,outcome,,,,
dcfield_115,DublinCore,coverage,,,,
value_115,Value,Improved,,,,
dataset_116,Dataset,EHR,,,,
field_116,Field,outcome,,,,
dcfield_116,DublinCore,coverage,,,,
value_116,Value,Deceased,,,,
dataset_117,Dataset,EHR,,,,
field_117,Field,outcome,,,,
dcfield_117,DublinCore,coverage,,,,
value_117,Value,Stable,,,,
dataset_118,Dataset,EHR,,,,
field_118,Field,outcome,,,,
dcfield_118,DublinCore,coverage,,,,
value_118,Value,Deteriorated,,,,
dataset_119,Dataset,Clinical Trials,,,,
field_119,Field,trial_id,,,,
dcfield_119,DublinCore,identifier,,,,
value_119,Value,NCT100000,,,,
dataset_120,Dataset,Clinical Trials,,,,
field_120,Field,trial_id,,,,
dcfield_120,DublinCore,identifier,,,,
value_120,Value,NCT100001,,,,
dataset_121,Dataset,Clinical Trials,,,,
field_121,Field,trial_id,,,,
dcfield_121,DublinCore,identifier,,,,
value_121,Value,NCT100002,,,,
dataset_122,Dataset,Clinical Trials,,,,
field_122,Field,trial_id,,,,
dcfield_122,DublinCore,identifier,,,,
value_122,Value,NCT100003,,,,
dataset_123,Dataset,Clinical Trials,,,,
field_123,Field,trial_id,,,,
dcfield_123,DublinCore,identifier,,,,
value_123,Value,NCT100004,,,,
dataset_124,Dataset,Clinical Trials,,,,
field_124,Field,trial_id,,,,
dcfield_124,DublinCore,identifier,,,,
value_124,Value,NCT100005,,,,
dataset_125,Dataset,Clinical Trials,,,,
field_125,Field,trial_id,,,,
dcfield_125,DublinCore,identifier,,,,
value_125,Value,NCT100006,,,,
dataset_126,Dataset,Clinical Trials,,,,
field_126,Field,trial_id,,,,
dcfield_126,DublinCore,identifier,,,,
value_126,Value,NCT100007,,,,
dataset_127,Dataset,Clinical Trials,,,,
field_127,Field,trial_id,,,,
dcfield_127,DublinCore,identifier,,,,
value_127,Value,NCT100008,,,,
dataset_128,Dataset,Clinical Trials,,,,
field_128,Field,trial_id,,,,
dcfield_128,DublinCore,identifier,,,,
value_128,Value,NCT100009,,,,
dataset_129,Dataset,Clinical Trials,,,,
field_129,Field,trial_id,,,,
dcfield_129,DublinCore,identifier,,,,
value_129,Value,NCT100010,,,,
dataset_130,Dataset,Clinical Trials,,,,
field_130,Field,trial_id,,,,
dcfield_130,DublinCore,identifier,,,,
value_130,Value,NCT100011,,,,
dataset_131,Dataset,Clinical Trials,,,,
field_131,Field,trial_id,,,,
dcfield_131,DublinCore,identifier,,,,
value_131,Value,NCT100012,,,,
dataset_132,Dataset,Clinical Trials,,,,
field_132,Field,trial_id,,,,
dcfield_132,DublinCore,identifier,,,,
value_132,Value,NCT100013,,,,
dataset_133,Dataset,Clinical Trials,,,,
field_133,Field,trial_id,,,,
dcfield_133,DublinCore,identifier,,,,
value_133,Value,NCT100014,,,,
dataset_134,Dataset,Clinical Trials,,,,
field_134,Field,trial_id,,,,
dcfield_134,DublinCore,identifier,,,,
value_134,Value,NCT100015,,,,
dataset_135,Dataset,Clinical Trials,,,,
field_135,Field,trial_id,,,,
dcfield_135,DublinCore,identifier,,,,
value_135,Value,NCT100016,,,,
dataset_136,Dataset,Clinical Trials,,,,
field_136,Field,trial_id,,,,
dcfield_136,DublinCore,identifier,,,,
value_136,Value,NCT100017,,,,
dataset_137,Dataset,Clinical Trials,,,,
field_137,Field,trial_id,,,,
dcfield_137,DublinCore,identifier,,,,
value_137,Value,NCT100018,,,,
dataset_138,Dataset,Clinical Trials,,,,
field_138,Field,trial_id,,,,
dcfield_138,DublinCore,identifier,,,,
value_138,Value,NCT100019,,,,
dataset_139,Dataset,Clinical Trials,,,,
field_139,Field,trial_id,,,,
dcfield_139,DublinCore,identifier,,,,
value_139,Value,NCT100020,,,,
dataset_140,Dataset,Clinical Trials,,,,
field_140,Field,trial_id,,,,
dcfield_140,DublinCore,identifier,,,,
value_140,Value,NCT100021,,,,
dataset_141,Dataset,Clinical Trials,,,,
field_141,Field,trial_id,,,,
dcfield_141,DublinCore,identifier,,,,
value_141,Value,NCT100022,,,,
dataset_142,Dataset,Clinical Trials,,,,
field_142,Field,trial_id,,,,
dcfield_142,DublinCore,identifier,,,,
value_142,Value,NCT100023,,,,
dataset_143,Dataset,Clinical Trials,,,,
field_143,Field,trial_id,,,,
dcfield_143,DublinCore,identifier,,,,
value_143,Value,NCT100024,,,,
dataset_144,Dataset,Clinical Trials,,,,
field_144,Field,trial_id,,,,
dcfield_144,DublinCore,identifier,,,,
value_144,Value,NCT100025,,,,
dataset_145,Dataset,Clinical Trials,,,,
field_145,Field,trial_id,,,,
dcfield_145,DublinCore,identifier,,,,
value_145,Value,NCT100026,,,,
dataset_146,Dataset,Clinical Trials,,,,
field_146,Field,trial_id,,,,
dcfield_146,DublinCore,identifier,,,,
value_146,Value,NCT100027,,,,
dataset_147,Dataset,Clinical Trials,,,,
field_147,Field,trial_id,,,,
dcfield_147,DublinCore,identifier,,,,
value_147,Value,NCT100028,,,,
dataset_148,Dataset,Clinical Trials,,,,
field_148,Field,trial_id,,,,
dcfield_148,DublinCore,identifier,,,,
value_148,Value,NCT100029,,,,
dataset_149,Dataset,Clinical Trials,,,,
field_149,Field,trial_id,,,,
dcfield_149,DublinCore,identifier,,,,
value_149,Value,NCT100030,,,,
dataset_150,Dataset,Clinical Trials,,,,
field_150,Field,trial_id,,,,
dcfield_150,DublinCore,identifier,,,,
value_150,Value,NCT100031,,,,
dataset_151,Dataset,Clinical Trials,,,,
field_151,Field,trial_id,,,,
dcfield_151,DublinCore,identifier,,,,
value_151,Value,NCT100032,,,,
dataset_152,Dataset,Clinical Trials,,,,
field_152,Field,trial_id,,,,
dcfield_152,DublinCore,identifier,,,,
value_152,Value,NCT100033,,,,
dataset_153,Dataset,Clinical Trials,,,,
field_153,Field,trial_id,,,,
dcfield_153,DublinCore,identifier,,,,
value_153,Value,NCT100034,,,,
dataset_154,Dataset,Clinical Trials,,,,
field_154,Field,trial_id,,,,
dcfield_154,DublinCore,identifier,,,,
value_154,Value,NCT100035,,,,
dataset_155,Dataset,Clinical Trials,,,,
field_155,Field,trial_id,,,,
dcfield_155,DublinCore,identifier,,,,
value_155,Value,NCT100036,,,,
dataset_156,Dataset,Clinical Trials,,,,
field_156,Field,trial_id,,,,
dcfield_156,DublinCore,identifier,,,,
value_156,Value,NCT100037,,,,
dataset_157,Dataset,Clinical Trials,,,,
field_157,Field,trial_id,,,,
dcfield_157,DublinCore,identifier,,,,
value_157,Value,NCT100038,,,,
dataset_158,Dataset,Clinical Trials,,,,
field_158,Field,trial_id,,,,
dcfield_158,DublinCore,identifier,,,,
value_158,Value,NCT100039,,,,
dataset_159,Dataset,Clinical Trials,,,,
field_159,Field,trial_id,,,,
dcfield_159,DublinCore,identifier,,,,
value_159,Value,NCT100040,,,,
dataset_160,Dataset,Clinical Trials,,,,
field_160,Field,trial_id,,,,
dcfield_160,DublinCore,identifier,,,,
value_160,Value,NCT100041,,,,
dataset_161,Dataset,Clinical Trials,,,,
field_161,Field,trial_id,,,,
dcfield_161,DublinCore,identifier,,,,
value_161,Value,NCT100042,,,,
dataset_162,Dataset,Clinical Trials,,,,
field_162,Field,trial_id,,,,
dcfield_162,DublinCore,identifier,,,,
value_162,Value,NCT100043,,,,
dataset_163,Dataset,Clinical Trials,,,,
field_163,Field,trial_id,,,,
dcfield_163,DublinCore,identifier,,,,
value_163,Value,NCT100044,,,,
dataset_164,Dataset,Clinical Trials,,,,
field_164,Field,trial_id,,,,
dcfield_164,DublinCore,identifier,,,,
value_164,Value,NCT100045,,,,
dataset_165,Dataset,Clinical Trials,,,,
field_165,Field,trial_id,,,,
dcfield_165,DublinCore,identifier,,,,
value_165,Value,NCT100046,,,,
dataset_166,Dataset,Clinical Trials,,,,
field_166,Field,trial_id,,,,
dcfield_166,DublinCore,identifier,,,,
value_166,Value,NCT100047,,,,
dataset_167,Dataset,Clinical Trials,,,,
field_167,Field,trial_id,,,,
dcfield_167,DublinCore,identifier,,,,
value_167,Value,NCT100048,,,,
dataset_168,Dataset,Clinical Trials,,,,
field_168,Field,trial_id,,,,
dcfield_168,DublinCore,identifier,,,,
value_168,Value,NCT100049,,,,
dataset_169,Dataset,Clinical Trials,,,,
field_169,Field,title,,,,
dcfield_169,DublinCore,title,,,,
value_169,Value,Study on Breast Cancer with Vaccine X,,,,
dataset_170,Dataset,Clinical Trials,,,,
field_170,Field,title,,,,
dcfield_170,DublinCore,title,,,,
value_170,Value,Study on Alzheimer's with Drug A,,,,
dataset_171,Dataset,Clinical Trials,,,,
field_171,Field,title,,,,
dcfield_171,DublinCore,title,,,,
value_171,Value,Study on Breast Cancer with Drug A,,,,
dataset_172,Dataset,Clinical Trials,,,,
field_172,Field,title,,,,
dcfield_172,DublinCore,title,,,,
value_172,Value,Study on Breast Cancer with Placebo,,,,
dataset_173,Dataset,Clinical Trials,,,,
field_173,Field,title,,,,
dcfield_173,DublinCore,title,,,,
value_173,Value,Study on Alzheimer's with Insulin,,,,
dataset_174,Dataset,Clinical Trials,,,,
field_174,Field,title,,,,
dcfield_174,DublinCore,title,,,,
value_174,Value,Study on Hypertension with Insulin,,,,
dataset_175,Dataset,Clinical Trials,,,,
field_175,Field,title,,,,
dcfield_175,DublinCore,title,,,,
value_175,Value,Study on COVID-19 with Insulin,,,,
dataset_176,Dataset,Clinical Trials,,,,
field_176,Field,title,,,,
dcfield_176,DublinCore,title,,,,
value_176,Value,Study on Asthma with Radiation Therapy,,,,
dataset_177,Dataset,Clinical Trials,,,,
field_177,Field,title,,,,
dcfield_177,DublinCore,title,,,,
value_177,Value,Study on Hypertension with Vaccine X,,,,
dataset_178,Dataset,Clinical Trials,,,,
field_178,Field,title,,,,
dcfield_178,DublinCore,title,,,,
value_178,Value,Study on Alzheimer's with Placebo,,,,
dataset_179,Dataset,Clinical Trials,,,,
field_179,Field,title,,,,
dcfield_179,DublinCore,title,,,,
value_179,Value,Study on Diabetes with Drug B,,,,
dataset_180,Dataset,Clinical Trials,,,,
field_180,Field,title,,,,
dcfield_180,DublinCore,title,,,,
value_180,Value,Study on COVID-19 with Radiation Therapy,,,,
dataset_181,Dataset,Clinical Trials,,,,
field_181,Field,title,,,,
dcfield_181,DublinCore,title,,,,
value_181,Value,Study on HIV with Radiation Therapy,,,,
dataset_182,Dataset,Clinical Trials,,,,
field_182,Field,title,,,,
dcfield_182,DublinCore,title,,,,
value_182,Value,Study on Breast Cancer with Insulin,,,,
dataset_183,Dataset,Clinical Trials,,,,
field_183,Field,title,,,,
dcfield_183,DublinCore,title,,,,
value_183,Value,Study on Hypertension with Placebo,,,,
